93.9 100 200 300 400 
94 100 200 300 400 
94.1 100 200 300 400 
94.2 100 200 300 400 
94.3 100 200 300 400 
94.4 100 200 300 400 
94.5 100 200 300 400 
94.6 100 200 300 400 
94.7 100 200 300 400 
94.8 100 200 300 400 
94.9 100 200 300 400 
95 100 200 300 400 
95.1 100 200 300 400 
95.2 100 200 300 400 
95.3 100 200 300 400 
95.4 100 200 300 400 
95.5 100 200 300 400 
95.6 100 200 300 400 
95.7 100 200 300 400 
95.8 100 200 300 400 
95.9 100 200 300 400 
96 100 200 300 400 
96.1 100 200 300 400 
96.2 100 200 300 400 
96.3 100 200 300 400 
96.4 100 200 300 400 
96.5 100 200 300 400 
96.6 100 200 300 400 
96.7 100 200 300 400 
96.8 100 200 300 400 
96.9 100 200 300 400 
97 100 200 300 400 
97.1 100 200 300 400 
97.2 100 200 300 400 
97.3 100 200 300 400 
97.4 100 200 300 400 
97.5 100 200 300 400 
97.6 100 200 300 400 
97.7 100 200 300 400 
97.8 100 200 300 400 
97.9 100 200 300 400 
98 100 200 300 400 
98.1 100 200 300 400 
98.2 100 200 300 400 
98.3 100 200 300 400 
98.4 100 200 300 400 
98.5 100 200 300 400 
98.6 100 200 300 400 
98.7 100 200 300 400 
98.8 100 200 300 400 
98.9 100 200 300 400 
99 100 200 300 400 
99.1 100 200 300 400 
99.2 100 200 300 400 
99.3 100 200 300 400 
99.4 100 200 300 400 
99.5 100 200 300 400 
99.6 100 200 300 400 
99.7 100 200 300 400 
99.8 100 200 300 400 
99.9 100 200 300 400 
100 100 200 300 400 
100.1 100 200 300 400 
100.2 100 200 300 400 
100.3 100 200 300 400 
100.4 100 200 300 400 
100.5 100 200 300 400 
100.6 100 200 300 400 
100.7 100 200 300 400 
100.8 100 200 300 400 
100.9 100 200 300 400 
101 100 200 300 400 
101.1 100 200 300 400 
101.2 100 200 300 400 
101.3 100 200 300 400 
101.4 100 200 300 400 
101.5 100 200 300 400 
101.6 100 200 300 400 
101.7 100 200 300 400 
101.8 100 200 300 400 
101.9 100 200 300 400 
102 100 200 300 400 
102.1 100 200 300 400 
102.2 100 200 300 400 
102.3 100 200 300 400 
102.4 100 200 300 400 
102.5 100 200 300 400 
102.6 100 200 300 400 
102.7 100 200 300 400 
102.8 100 200 300 400 
102.9 100 200 300 400 
103 100 200 300 400 
103.1 100 200 300 400 
103.2 100 200 300 400 
103.3 100 200 300 400 
103.4 100 200 300 400 
103.5 100 200 300 400 
103.6 100 200 300 400 
103.7 100 200 300 400 
103.8 100 200 300 400 
103.9 100 200 300 400 
104 100 200 300 400 
104.1 100 200 300 400 
104.2 100 200 300 400 
104.3 100 200 300 400 
104.4 100 200 300 400 
104.5 100 200 300 400 
104.6 100 200 300 400 
104.7 100 200 300 400 
104.8 100 200 300 400 
104.9 100 200 300 400 
105 100 200 300 400 
105.1 100 200 300 400 
105.2 100 200 300 400 
105.3 100 200 300 400 
105.4 100 200 300 400 
105.5 100 200 300 400 
105.6 100 200 300 400 
105.7 100 200 300 400 
105.8 100 200 300 400 
105.9 100 200 300 400 
106 100 200 300 400 
106.1 100 200 300 400 
106.2 100 200 300 400 
106.3 100 200 300 400 
106.4 100 200 300 400 
106.5 100 200 300 400 
106.6 100 200 300 400 
106.7 100 200 300 400 
106.8 100 200 300 400 
106.9 100 200 300 400 
107 100 200 300 400 
107.1 100 200 300 400 
107.2 100 200 300 400 
107.3 100 200 300 400 
107.4 100 200 300 400 
107.5 100 200 300 400 
107.6 100 200 300 400 
107.7 100 200 300 400 
107.8 100 200 300 400 
107.9 100 200 300 400 
108 100 200 300 400 
108.1 100 200 300 400 
108.2 100 200 300 400 
108.3 100 200 300 400 
108.4 100 200 300 400 
108.5 100 200 300 400 
108.6 100 200 300 400 
108.7 100 200 300 400 
108.8 100 200 300 400 
108.9 100 200 300 400 
109 100 200 300 400 
109.1 100 200 300 400 
109.2 100 200 300 400 
